ID,Year,Month,Day,Tsunami_Event,Earthquake_Event,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage ,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description
51,1389,12,1,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
52,1410,3,5,,,Nasu,Honshu-Japan,Japan,37.12,139.97,1917,Stratovolcano,3,,180,3,0,,0,,0,0,0,0,180,3,0,0,0,0,0,0,0,
53,1430,,,,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,,P,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
54,1471,11,3,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,5,P,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
55,1477,2,,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,6,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
56,1485,1,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,2,,1,1,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,
57,1500,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
58,1510,7,25,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,T,1,1,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,
59,1510,10,15,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,I,0,,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
60,1536,3,23,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,3,T,1,1,0,,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,
61,1538,9,29,,,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,3,T,24,1,0,,0,,0,0,0,0,24,1,0,0,0,0,0,0,0,
62,1540,,,2874,,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,4,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,1550,11,,,,Dukono,Halmahera-Indonesia,Indonesia,1.68,127.88,1185,Complex volcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
64,1564,12,31,,,Gamkonora,Halmahera-Indonesia,Indonesia,1.375,127.52,1635,Stratovolcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
65,1565,8,,,9788,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,3,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
66,1566,10,31,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3,,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
67,1568,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,510,Stratovolcano,3,"P,T,M",1001,4,0,,0,,0,0,0,0,1001,4,0,0,0,0,0,0,0,
68,1570,,,,,Mombacho,Nicaragua,Nicaragua,11.826,-85.968,1344,Stratovolcano,,A,400,3,0,,0,,0,0,0,0,400,3,0,0,0,0,0,0,0,
69,1572,,,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,3,L,0,,0,,0,,0,2,0,0,0,0,0,0,0,0,0,2,0,
70,1576,,,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
71,1580,5,1,,,San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,3,P,10,1,0,,0,,0,0,0,0,10,1,0,0,0,0,0,0,0,
72,1580,8,11,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,1580,,,,,Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,-6.092,155.225,1544,Pyroclastic shield,6,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,1581,12,26,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
75,1586,,,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,5,,10000,4,0,,0,,0,0,0,0,10000,4,0,0,0,0,0,0,0,
76,1587,,,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,4,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
77,1590,1,15,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,3,I,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
78,1593,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,5,,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
79,1595,3,12,,,Ruiz,Colombia,Colombia,4.895,-75.322,5321,Stratovolcano,4,M,636,3,0,,0,,0,0,0,0,636,3,0,0,0,0,0,0,0,
80,1596,5,1,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,T,0,3,0,,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,
81,1597,1,3,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,,0,,0,,0,,0,1,0,0,0,0,0,0,0,0,0,1,0,
82,1597,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,3,T,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
83,1598,5,13,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,T,800,3,0,,0,,0,0,0,0,800,3,0,0,0,0,0,0,0,
84,1598,,,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,3,,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
85,1600,2,19,,814,Huaynaputina,Peru,Peru,-16.608,-70.85,4850,Stratovolcano,6,,1500,4,0,,0,,0,0,0,0,1500,4,0,0,0,0,0,0,0,
86,1606,1,23,219,,Hachijo-jima,Izu Is-Japan,Japan,33.13,139.77,854,Stratovolcano,2,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,1608,7,18,222,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,3,,0,,0,,0,,0,1,0,0,0,1,0,0,0,0,0,1,0,
88,1609,,,,,Tengchong,China-S,China,25.32,98.47,2865,Pyroclastic cone,,E,0,1,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,
